iter	Passed	Remaining
0	138	138796
1	140	70256
2	143	47854
3	146	36435
4	147	29435
5	149	24781
6	151	21468
7	152	18953
8	154	17030
9	156	15524
10	158	14280
11	160	13251
12	162	12366
13	164	11581
14	166	10959
15	168	10362
16	169	9828
17	171	9356
18	172	8930
19	174	8556
20	176	8215
21	177	7910
22	179	7621
23	181	7371
24	182	7134
25	184	6920
26	186	6721
27	188	6548
28	190	6378
29	192	6224
30	194	6081
31	196	5940
32	198	5807
33	199	5675
34	201	5546
35	202	5430
36	204	5314
37	205	5203
38	207	5107
39	209	5016
40	212	4969
41	214	4892
42	216	4818
43	218	4746
44	220	4685
45	222	4614
46	224	4547
47	226	4487
48	228	4429
49	229	4366
50	231	4303
51	232	4246
52	234	4197
53	236	4142
54	238	4093
55	239	4042
56	241	3994
57	243	3949
58	244	3903
59	246	3862
60	250	3854
61	253	3832
62	257	3824
63	260	3804
64	261	3766
65	264	3736
66	265	3698
67	267	3659
68	268	3625
69	270	3588
70	271	3553
71	273	3523
72	274	3491
73	277	3469
74	279	3452
75	284	3461
76	288	3463
77	290	3438
78	292	3409
79	294	3381
80	295	3352
81	296	3322
82	298	3295
83	299	3267
84	301	3240
85	303	3221
86	305	3200
87	306	3174
88	307	3151
89	309	3128
90	310	3104
91	312	3082
92	313	3059
93	315	3036
94	316	3013
95	317	2994
96	319	2975
97	324	2990
98	330	3011
99	338	3045
100	341	3036
101	344	3030
102	346	3015
103	347	2995
104	349	2976
105	351	2966
106	353	2950
107	358	2957
108	362	2959
109	363	2944
110	366	2938
111	369	2933
112	371	2919
113	374	2910
114	376	2894
115	377	2877
116	379	2860
117	380	2847
118	382	2833
119	384	2817
120	385	2801
121	387	2787
122	388	2771
123	390	2756
124	391	2740
125	392	2725
126	394	2711
127	396	2701
128	399	2694
129	401	2690
130	404	2682
131	406	2676
132	409	2666
133	411	2656
134	413	2648
135	415	2638
136	417	2628
137	418	2616
138	420	2603
139	421	2590
140	423	2579
141	425	2569
142	428	2568
143	431	2565
144	433	2558
145	436	2550
146	438	2544
147	440	2534
148	441	2524
149	444	2516
150	446	2507
151	447	2496
152	448	2484
153	450	2473
154	451	2462
155	453	2452
156	454	2441
157	456	2431
158	457	2421
159	459	2412
160	461	2402
161	462	2394
162	465	2388
163	468	2390
164	472	2392
165	476	2396
166	479	2390
167	481	2382
168	483	2378
169	485	2368
170	486	2358
171	487	2348
172	489	2340
173	491	2332
174	492	2323
175	494	2316
176	498	2316
177	501	2318
178	507	2327
179	510	2323
180	511	2316
181	513	2309
182	515	2302
183	517	2294
184	518	2285
185	520	2277
186	522	2272
187	524	2264
188	525	2255
189	527	2247
190	528	2238
191	529	2230
192	531	2221
193	532	2213
194	534	2204
195	535	2197
196	537	2190
197	539	2184
198	542	2183
199	547	2189
200	550	2186
201	554	2191
202	556	2185
203	558	2179
204	560	2172
205	561	2165
206	563	2157
207	564	2149
208	566	2143
209	568	2137
210	569	2131
211	571	2124
212	573	2118
213	574	2110
214	576	2103
215	577	2096
216	578	2089
217	580	2081
218	581	2074
219	584	2072
220	586	2066
221	590	2067
222	594	2070
223	596	2066
224	598	2062
225	601	2059
226	603	2054
227	606	2051
228	607	2046
229	609	2039
