iter	RMSE
0	641579.389
1	624922.1129
2	609499.827
3	595286.366
4	581650.7213
5	567955.1847
6	554752.2597
7	542597.5732
8	530820.9137
9	519165.7614
10	508558.503
11	498047.3919
12	488197.6696
13	479864.3567
14	472048.1411
15	463730.9986
16	456194.8964
17	448600.9101
18	441770.9121
19	435318.7504
20	428493.0025
21	422180.586
22	416208.3941
23	410360.1721
24	405060.1534
25	399839.0564
26	395497.4466
27	390894.6167
28	386776.714
29	382747.804
30	379171.5162
31	376002.2337
32	372392.4594
33	368791.5823
34	365267.6392
35	362304.1439
36	358863.0709
37	356003.0765
38	353041.4435
39	350189.8013
40	347522.414
41	345123.8105
42	342567.2429
43	339922.3145
44	337658.8307
45	335676.9115
46	333634.5539
47	331499.7369
48	329017.4958
49	327212.7266
50	325256.2821
51	323487.4621
52	321962.6388
53	320209.4706
54	318294.5741
55	316876.706
56	315064.1746
57	313802.7798
58	312348.8497
59	310697.7322
60	309227.091
61	307768.8428
62	306574.6355
63	305248.5379
64	304036.8491
65	302801.1051
66	301766.3579
67	300685.9528
68	299485.6905
69	298379.1122
70	297328.5739
71	296409.4906
72	295537.692
73	294724.6156
74	294063.6452
75	293142.0577
76	292284.1193
77	291464.1803
78	290698.3879
79	289824.5307
80	289149.8948
81	288504.654
82	287544.3014
83	286856.247
84	286267.8477
85	285660.99
86	285108.0749
87	284618.4143
88	283867.0587
89	283056.489
90	282558.9316
91	282036.5034
92	281513.4308
93	281033.5037
94	280478.6945
95	279976.6608
96	279420.9749
97	279043.8216
98	278603.5877
99	278027.4322
100	277749.9242
101	277235.9629
102	276739.287
103	276288.5717
104	275986.3662
105	275758.5295
106	275417.2051
107	275187.6808
108	274839.0855
109	274544.8688
110	274145.3755
111	273878.7565
112	273210.1222
113	272773.7328
114	272322.2679
115	272022.5544
116	271767.2937
117	271461.5676
118	271125.174
119	270690.8801
120	269981.8941
121	269755.9056
122	269310.2669
123	268939.3008
124	268642.0508
125	268398.7602
126	268026.789
127	267711.8462
128	267329.0028
129	267110.0366
130	266762.3935
131	266600.1614
132	266251.0635
133	265848.3517
134	265514.516
135	265149.5075
136	264993.7621
137	264816.8029
138	264681.2245
139	264362.2929
140	263917.9041
141	263717.315
142	263467.4361
143	263303.5739
144	263085.2464
145	262968.6639
146	262722.9069
147	262569.4558
148	262191.3803
149	261962.4097
150	261792.423
151	261505.5881
152	261426.533
153	261285.361
154	260986.8196
155	260853.8705
156	260625.6033
157	260453.7291
158	260280.1322
159	260062.0873
160	260001.4732
161	259666.4735
162	259554.7996
163	259465.5694
164	259352.0931
165	259141.735
166	259061.168
167	258963.7931
168	258688.1247
169	258626.6821
170	258566.4038
171	258452.7239
172	258191.6274
173	257951.9009
174	257719.6946
175	257457.2817
176	257357.8416
177	257105.7248
178	256757.2157
179	256544.1665
180	256378.6323
181	256235.3959
182	255933.8352
183	255795.6256
184	255318.347
185	254915.1929
186	254760.7941
187	254583.9811
188	254446.1331
189	254206.6642
190	254073.1887
191	253789.5604
192	253475.6253
193	253257.7795
194	253064.9912
195	252861.213
