iter	RMSE
196	252729.027
197	252558.3592
198	252426.4349
199	252285.4697
200	251922.5652
201	251728.4373
202	251539.8444
203	251366.0983
204	251225.2722
205	251097.9661
206	250850.6034
207	250473.6018
208	250341.5043
209	250169.4025
210	250050.2079
211	249901.5049
212	249777.7013
213	249637.864
214	249509.6917
215	249402.6647
216	249237.709
217	249107.9568
218	248976.55
219	248847.5517
220	248722.0496
221	248595.0809
222	248299.5687
223	248219.7486
224	248046.7727
225	247927.3421
226	247801.3299
227	247677.5851
228	247573.3284
229	247512.0557
230	247373.9888
231	247061.5838
232	246917.5182
233	246591.7421
234	246481.2575
235	246358.3964
236	246265.1555
237	246159.616
238	245928.1054
239	245814.1247
240	245534.5563
241	245192.7615
242	245145.6167
243	244674.6598
244	244570.3766
245	244450.2337
246	244319.8707
247	244282.2427
248	244180.1579
249	243892.3248
250	243659.4337
251	243243.0249
252	243144.9364
253	242889.089
254	242825.6314
255	242716.6201
256	242347.1383
257	242272.7513
258	242155.3145
259	242011.9956
260	241918.0836
261	241779.4199
262	241675.7903
263	241554.3364
264	241455.9807
265	241234.2282
266	240885.9597
267	240519.2
268	240382.4459
269	240210.8657
270	239935.5346
271	239811.3413
272	239475.956
273	239415.4037
274	239301.3515
275	239094.4532
276	238887.5976
277	238861.222
278	238734.0755
279	238638.1277
280	238293.5959
281	238067.3596
282	238042.8576
283	237790.8961
284	237709.6989
285	237642.196
286	237434.778
287	237372.0617
288	237170.4395
289	237086.0297
290	236795.7946
291	236674.7951
292	236488.6641
293	236442.3283
294	236328.49
295	236304.4068
296	236180.4181
297	235994.7799
298	235850.9729
299	235761.7998
300	235682.892
301	235451.6581
302	235415.1784
303	235358.8637
304	235144.3791
305	234989.7647
306	234831.1294
307	234723.1943
308	234682.7957
309	234491.3443
310	234389.794
311	234076.2084
312	233884.5971
313	233825.4394
314	233787.2121
315	233592.9104
316	233491.9251
317	233400.4225
318	233264.3162
319	233138.4324
320	232951.8497
321	232770.4837
322	232482.1792
323	232282.7004
324	232020.3036
325	231826.4035
326	231671.4877
327	231591.5391
328	231413.3521
329	231323.7333
330	231176.2352
331	230945.943
332	230812.732
333	230726.2928
334	230549.5906
335	230382.747
336	230206.4743
337	230034.1089
338	229977.9392
339	229841.4245
340	229766.2724
341	229602.0296
342	229343.469
343	229262.1955
344	229114.8754
345	228985.712
346	228934.6779
347	228739.1484
348	228691.0963
349	228607.8361
350	228534.8207
351	228367.471
352	228195.9438
353	228149.5984
354	227975.9614
355	227934.0362
356	227685.2751
357	227526.9411
358	227287.0364
359	227096.2526
360	226864.8182
361	226705.6074
362	226670.9519
363	226526.0264
364	226473.6341
365	226326.673
366	226103.2543
367	225981.0204
368	225828.4715
369	225814.016
370	225683.9326
371	225613.789
372	225504.3232
373	225361.155
374	225225.2682
375	225171.4162
376	225097.0005
377	224998.7681
378	224904.3286
379	224837.3801
380	224698.9529
381	224573.059
382	224431.9786
383	224337.4587
384	224171.794
385	224109.3582
386	223973.9409
387	223761.9041
388	223732.511
389	223682.5592
390	223506.948
391	223416.1061
392	223347.5494
393	223217.7744
394	223152.9473
395	223009.6924
396	222837.71
397	222767.1361
398	222633.1484
399	222582.8153
400	222384.8559
401	222351.3673
402	222234.3574
403	222111.1977
404	221982.3131
405	221859.5052
406	221762.7993
407	221645.5173
408	221598.912
409	221571.4263
410	221557.7929
411	221463.3542
412	221271.6963
413	221094.2337
414	221009.2316
415	220855.8046
416	220764.1546
417	220719.7479
418	220619.3876
419	220544.2601
420	220419.9362
421	220271.8606
422	220181.4222
423	220037.6979
424	219948.8988
425	219840.4831
426	219753.1066
427	219667.2862
428	219582.9811
429	219500.1523
430	219408.8442
431	219326.9026
432	219246.4434
433	219167.301
434	219089.5671
435	218990.3455
436	218913.9882
437	218778.1049
438	218747.2942
439	218672.1782
440	218593.5918
441	218520.0556
442	218374.1373
443	218276.1775
444	218204.2531
445	218133.5088
446	218078.7118
447	217934.829
448	217865.1493
449	217730.7178
450	217665.7932
451	217572.3221
452	217474.0359
453	217396.4604
454	217377.2921
455	217249.9419
456	217163.839
457	217044.4145
458	216919.0751
459	216834.4502
460	216766.5459
461	216666.6408
462	216631.6097
463	216537.3668
464	216374.1583
465	216344.3969
466	216137.2774
467	216041.4713
468	215980.9247
469	215884.8545
470	215710.2185
471	215594.9704
472	215494.3905
473	215426.4026
474	215308.4614
475	215260.1892
476	215107.2815
477	215066.4792
478	214946.9118
479	214933.4709
480	214805.1668
481	214696.4542
482	214586.2434
483	214546.2104
484	214443.812
485	214367.3389
486	214298.6268
487	214214.6327
488	214075.1778
489	213968.2769
490	213903.8243
491	213864.0159
492	213837.6823
493	213752.3175
494	213706.1734
495	213629.4968
496	213483.8392
497	213400.6946
498	213253.6093
499	213228.5115
500	213145.2355
501	213084.8879
502	213041.785
503	212897.4666
504	212831.7066
505	212696.9776
506	212634.871
507	212468.4444
508	212446.2206
509	212285.2783
510	212255.1665
511	212073.3739
512	211920.6552
513	211850.7894
514	211703.331
515	211606.3915
516	211493.4783
517	211352.4322
518	211316.237
519	211279.6842
520	211183.3834
521	211171.3829
522	211079.8746
523	211003.7322
524	210925.8946
525	210812.5245
526	210768.7977
527	210703.4762
528	210597.2901
529	210559.5601
530	210523.4817
531	210464.6068
532	210348.6875
533	210303.0065
534	210166.2671
535	210093.9768
536	210082.345
537	210063.4197
538	210015.1944
539	209961.8112
540	209950.4234
541	209903.1314
542	209839.6621
543	209706.8198
544	209624.2871
545	209570.1154
546	209424.9157
547	209308.8594
548	209274.6383
549	209182.267
550	209130.3627
551	209021.9748
552	208892.935
553	208823.3696
554	208754.7357
555	208737.2418
556	208610.6026
557	208571.6781
558	208451.2569
559	208438.2063
560	208391.5764
561	208248.1663
562	208237.1519
563	208208.4112
564	208135.3633
565	208011.8294
566	207983.0428
567	207937.7471
568	207796.303
569	207658.3038
570	207614.3069
571	207485.3793
572	207422.2781
573	207282.3429
574	207164.4957
575	207019.9737
576	207004.0451
577	206968.47
578	206911.8203
579	206854.1471
580	206747.6072
581	206705.8067
582	206632.5827
583	206570.5479
584	206509.0546
585	206482.9592
586	206378.7989
587	206362.3333
588	206344.5752
589	206274.0964
590	206191.8415
591	206091.4209
592	205988.8793
593	205954.4574
594	205835.3832
595	205748.7988
596	205733.1097
597	205602.7834
598	205542.745
599	205483.7624
600	205469.2404
601	205411.3471
602	205354.3797
603	205290.6051
604	205193.8066
605	205092.4968
606	205082.1153
607	205043.1759
608	204982.2655
609	204933.1486
610	204791.6843
611	204774.9336
612	204720.526
613	204683.2577
614	204665.9788
615	204656.0441
616	204542.0001
617	204510.3967
618	204420.764
619	204365.1703
620	204289.4637
621	204263.5369
622	204154.2086
623	204099.4495
624	203989.093
625	203935.4396
626	203919.3606
627	203786.1254
628	203733.4513
629	203639.9894
630	203619.2572
631	203514.6052
632	203410.6697
633	203333.7464
634	203256.1165
635	203203.8835
636	203106.6691
637	203057.4097
638	203042.8198
639	203018.7142
640	202905.7999
641	202855.5509
642	202806.1661
643	202757.2707
644	202666.4983
645	202648.3822
646	202581.5386
647	202565.6122
648	202516.995
649	202479.6807
650	202382.3213
651	202254.87
652	202206.8806
653	202088.6499
654	202041.4358
655	201969.7911
656	201891.6163
657	201786.4506
658	201710.8826
659	201615.3454
660	201538.0599
661	201492.5474
662	201413.881
663	201335.1307
664	201250.4266
665	201178.2946
666	201159.9952
667	201081.4521
668	201006.2987
669	200961.5724
670	200917.5933
671	200860.7712
672	200799.673
673	200739.824
674	200621.0711
675	200611.6357
676	200544.482
677	200479.5783
678	200469.3629
679	200459.6
680	200366.661
681	200328.5293
682	200278.122
683	200179.3422
684	200132.3183
685	200067.7972
686	199969.274
687	199879.6687
688	199779.7628
689	199665.5135
690	199649.8513
691	199632.2088
692	199587.7398
693	199531.5562
694	199443.1922
695	199400.4277
696	199296.1734
697	199266.0334
698	199171.0407
699	199129.3033
